date,epicenter,lat,long,dep,magnitude
2016/01/26 00:49:50,SOUTHERN KUMAMOTO PREF,32.2207,130.4240,9.01,1.3
2016/02/15 00:27:59,SOUTHERN KUMAMOTO PREF,32.2325,130.4990,5.9,0.6
2016/02/20 02:03:20,SOUTHERN KUMAMOTO PREF,32.2008,130.4250,8.13,0.9
2016/02/22 12:56:37,SOUTHERN KUMAMOTO PREF,32.2012,130.4230,7.97,1.3
2016/02/23 01:15:59,SOUTHERN KUMAMOTO PREF,32.2315,130.4930,2.99,0.7
2016/03/06 13:18:35,SOUTHERN KUMAMOTO PREF,32.2027,130.4330,8.18,1.0
2016/03/15 20:11:31,SOUTHERN KUMAMOTO PREF,32.2300,130.4300,9.18,1.9
2016/05/10 11:10:35,SOUTHERN KUMAMOTO PREF,32.2977,130.4310,1.28,0.7
2016/05/11 15:23:09,SOUTHERN KUMAMOTO PREF,32.2365,130.4290,1.89,1.0
2016/05/11 15:52:26,SOUTHERN KUMAMOTO PREF,32.2367,130.4260,1.24,0.5
2016/05/12 16:16:29,SOUTHERN KUMAMOTO PREF,32.2265,130.4710,2.88,0.6
2016/05/14 06:15:28,SOUTHERN KUMAMOTO PREF,32.2915,130.4520,5.65,1.3
2016/05/17 18:39:55,SOUTHERN KUMAMOTO PREF,32.2825,130.4110,3.05,0.5
2016/05/20 19:03:31,SOUTHERN KUMAMOTO PREF,32.2952,130.4320,5.97,1.4
2016/05/20 20:40:11,SOUTHERN KUMAMOTO PREF,32.2903,130.4220,8.97,1.6
2016/05/25 13:19:12,SOUTHERN KUMAMOTO PREF,32.2928,130.4520,6.95,0.9
2016/05/27 00:41:09,SOUTHERN KUMAMOTO PREF,32.2478,130.4310,6.57,1.1
2016/06/10 19:58:24,SOUTHERN KUMAMOTO PREF,32.2202,130.4600,0.41,1.2
2016/06/11 19:25:55,SOUTHERN KUMAMOTO PREF,32.2180,130.4590,0,0.8
2016/06/13 12:47:38,SOUTHERN KUMAMOTO PREF,32.2383,130.4320,0.91,1.5
2016/06/13 12:50:34,SOUTHERN KUMAMOTO PREF,32.2340,130.4280,6.49,0.6
2016/06/13 13:47:55,SOUTHERN KUMAMOTO PREF,32.2367,130.4300,1.09,0.6
2016/06/17 21:14:22,SOUTHERN KUMAMOTO PREF,32.2383,130.4240,5.22,0.7
2016/06/19 02:52:40,SOUTHERN KUMAMOTO PREF,32.2467,130.4320,6.39,0.9
2016/06/21 23:41:45,SOUTHERN KUMAMOTO PREF,32.2368,130.4290,0.96,1.0
2016/06/21 23:53:02,SOUTHERN KUMAMOTO PREF,32.2392,130.4290,0,0.6
2016/06/21 23:54:26,SOUTHERN KUMAMOTO PREF,32.2368,130.4310,0.77,0.5
2016/06/22 05:08:04,SOUTHERN KUMAMOTO PREF,32.2382,130.4330,1.1,1.0
2016/07/01 14:56:32,SOUTHERN KUMAMOTO PREF,32.2888,130.4210,7.71,0.7
2016/07/01 20:58:19,SOUTHERN KUMAMOTO PREF,32.2377,130.4130,2.8,0.9
2016/07/03 07:19:29,SOUTHERN KUMAMOTO PREF,32.2227,130.4180,7.58,0.9
2016/07/17 14:07:12,SOUTHERN KUMAMOTO PREF,32.2300,130.4420,0,0.7
2016/07/20 08:52:49,SOUTHERN KUMAMOTO PREF,32.2968,130.4650,8.98,0.7
2016/07/21 19:06:39,SOUTHERN KUMAMOTO PREF,32.2950,130.4230,2.6,0.7
2016/07/28 15:13:06,SOUTHERN KUMAMOTO PREF,32.2257,130.4730,4.26,0.5
2016/07/31 07:11:39,SOUTHERN KUMAMOTO PREF,32.2168,130.4360,0,0.5
2016/08/08 19:17:30,SOUTHERN KUMAMOTO PREF,32.2790,130.4280,0,0.5
2016/08/10 10:09:53,SOUTHERN KUMAMOTO PREF,32.2822,130.4330,7.41,2.6
2016/08/13 08:40:23,SOUTHERN KUMAMOTO PREF,32.2357,130.4080,0,1.0
2016/08/20 16:23:45,SOUTHERN KUMAMOTO PREF,32.2835,130.4080,1.61,1.1
2016/08/24 11:45:34,SOUTHERN KUMAMOTO PREF,32.2602,130.4000,10.42,0.9
2016/08/25 20:02:36,SOUTHERN KUMAMOTO PREF,32.2613,130.4020,10.71,0.8
2016/08/28 00:29:31,SOUTHERN KUMAMOTO PREF,32.2385,130.4110,0.66,0.7
2016/08/30 06:50:37,SOUTHERN KUMAMOTO PREF,32.2618,130.4020,11.15,1.3
2016/09/03 04:46:15,SOUTHERN KUMAMOTO PREF,32.2023,130.4280,7.59,0.8
2016/09/13 16:59:41,SOUTHERN KUMAMOTO PREF,32.2847,130.4180,9.06,0.5
2016/09/13 18:30:52,SOUTHERN KUMAMOTO PREF,32.2863,130.4220,9.02,0.7
2016/09/13 18:32:17,SOUTHERN KUMAMOTO PREF,32.2882,130.4200,9.62,0.5
2016/09/19 22:21:41,SOUTHERN KUMAMOTO PREF,32.2023,130.4320,7.93,1.1
2016/09/27 17:58:10,SOUTHERN KUMAMOTO PREF,32.2352,130.4280,1.58,1.4
2016/10/01 20:15:42,SOUTHERN KUMAMOTO PREF,32.2428,130.5000,5.06,0.5
2016/10/27 18:15:48,SOUTHERN KUMAMOTO PREF,32.2280,130.4190,9.47,0.8
2016/10/28 23:12:39,SOUTHERN KUMAMOTO PREF,32.2035,130.4040,8.17,0.5
2016/10/31 01:19:02,SOUTHERN KUMAMOTO PREF,32.2948,130.4060,10.69,0.9
2016/11/03 21:19:55,SOUTHERN KUMAMOTO PREF,32.2952,130.4320,1.97,0.7
2016/11/10 09:36:09,SOUTHERN KUMAMOTO PREF,32.2838,130.4820,7.08,0.5
2016/11/14 16:59:59,SOUTHERN KUMAMOTO PREF,32.2668,130.4200,11.05,0.6
2016/11/24 00:25:43,SOUTHERN KUMAMOTO PREF,32.2028,130.4510,5.77,0.5
2016/11/29 12:28:43,SOUTHERN KUMAMOTO PREF,32.2852,130.4130,1.81,0.9
2016/11/30 08:31:43,SOUTHERN KUMAMOTO PREF,32.2993,130.4170,5.96,1.3
2016/12/02 18:56:50,SOUTHERN KUMAMOTO PREF,32.2353,130.4300,2.2,2.3
2016/12/02 20:03:43,SOUTHERN KUMAMOTO PREF,32.2352,130.4280,1.42,1.3
2016/12/04 23:59:30,SOUTHERN KUMAMOTO PREF,32.2528,130.4310,7.09,0.6
2016/12/05 04:33:34,SOUTHERN KUMAMOTO PREF,32.2353,130.4270,0.73,0.8
2016/12/10 07:02:47,SOUTHERN KUMAMOTO PREF,32.2833,130.4550,9.94,0.9
2016/12/12 08:05:15,SOUTHERN KUMAMOTO PREF,32.2603,130.4020,10.69,1.0
2016/12/15 02:51:32,SOUTHERN KUMAMOTO PREF,32.2015,130.4120,6.21,0.7
2016/12/15 22:53:05,SOUTHERN KUMAMOTO PREF,32.2508,130.4230,4.42,0.8
2016/12/16 19:31:12,SOUTHERN KUMAMOTO PREF,32.2363,130.4240,2.47,0.5
2016/12/18 05:03:45,SOUTHERN KUMAMOTO PREF,32.2513,130.4220,5.6,0.7
2016/12/18 05:19:54,SOUTHERN KUMAMOTO PREF,32.2533,130.4240,5.21,0.6
2016/12/18 05:21:33,SOUTHERN KUMAMOTO PREF,32.2517,130.4220,5.91,1.1
2016/12/22 10:02:06,SOUTHERN KUMAMOTO PREF,32.2348,130.4230,2.99,0.7
2016/12/26 01:57:13,SOUTHERN KUMAMOTO PREF,32.2300,130.4180,9.37,0.7
2016/12/27 12:39:05,SOUTHERN KUMAMOTO PREF,32.2707,130.4190,9.83,1.4
2016/12/28 10:59:15,SOUTHERN KUMAMOTO PREF,32.2698,130.4220,9.9,0.7
2017/01/07 11:01:08,SOUTHERN KUMAMOTO PREF,32.2702,130.4190,11.22,0.6
